name                             component                               version
5c5bce60b21caf8d7db67165d704ade5 opensearch-analysis-vietnamese          2.19.0
5c5bce60b21caf8d7db67165d704ade5 opensearch-anomaly-detection            x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-asynchronous-search          x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-cross-cluster                2.19.0
5c5bce60b21caf8d7db67165d704ade5 opensearch-cross-cluster-replication    x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-custom-codecs                x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-flow-framework               x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-geospatial                   x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-index-management             x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-job-scheduler                x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-knn                          x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-ltr                          x.x.x.x-SNAPSHOT
5c5bce60b21caf8d7db67165d704ade5 opensearch-ml                           x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-neural-search                x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-notifications                x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-notifications-core           x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-observability                x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-reports-scheduler            x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-security                     x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-security-analytics           x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-skills                       x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-sql                          x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-system-templates             x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 performance-analyzer                    x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 query-insights                          x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 repository-s3                           2.19.0
5c5bce60b21caf8d7db67165d704ade5 sifi-remediation-plugin                 x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 telemetry-otel                          2.19.0
5c5bce60b21caf8d7db67165d704ade5 workload-management                     2.19.0
81811eb23abcf845d465f06248a7457d analysis-icu                            2.19.0
81811eb23abcf845d465f06248a7457d analysis-ik                             2.19.0
81811eb23abcf845d465f06248a7457d analysis-kuromoji                       2.19.0
81811eb23abcf845d465f06248a7457d analysis-phonetic                       2.19.0
81811eb23abcf845d465f06248a7457d analysis-seunjeon                       2.19.0
81811eb23abcf845d465f06248a7457d analysis-smartcn                        2.19.0
81811eb23abcf845d465f06248a7457d analysis-stempel                        2.19.0
81811eb23abcf845d465f06248a7457d analysis-thaichub2                      2.19.0
81811eb23abcf845d465f06248a7457d analysis-ukrainian                      2.19.0
81811eb23abcf845d465f06248a7457d aws-opensearch-admission-control-plugin 2.19.0
81811eb23abcf845d465f06248a7457d aws-opensearch-coral-network-plugin     2.19.0
81811eb23abcf845d465f06248a7457d aws-opensearch-network-core-plugin      2.19.0
81811eb23abcf845d465f06248a7457d aws-opensearch-network-plugin           2.19.0
81811eb23abcf845d465f06248a7457d aws-opensearch-network-security-plugin  2.19.0
81811eb23abcf845d465f06248a7457d cache-ehcache                           2.19.0
81811eb23abcf845d465f06248a7457d crypto-kms                              2.19.0
81811eb23abcf845d465f06248a7457d discovery-ec2                           2.19.0
81811eb23abcf845d465f06248a7457d elasticsearch-aes-iam                   2.16.0
81811eb23abcf845d465f06248a7457d elasticsearch-aes-remote-reindex        2.19.0
81811eb23abcf845d465f06248a7457d ingest-attachment                       2.19.0
81811eb23abcf845d465f06248a7457d kraken                                  unspecified
81811eb23abcf845d465f06248a7457d kraken-index-management-extension       x.x.x.x
81811eb23abcf845d465f06248a7457d mapper-murmur3                          2.19.0
81811eb23abcf845d465f06248a7457d mapper-size                             2.19.0
81811eb23abcf845d465f06248a7457d opensearch-alerting                     x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-analysis-sudachi             2.19.0
81811eb23abcf845d465f06248a7457d opensearch-analysis-vietnamese          2.19.0
81811eb23abcf845d465f06248a7457d opensearch-anomaly-detection            x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-asynchronous-search          x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-cross-cluster                2.19.0
81811eb23abcf845d465f06248a7457d opensearch-cross-cluster-replication    x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-custom-codecs                x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-flow-framework               x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-geospatial                   x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-index-management             x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-job-scheduler                x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-knn                          x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-ltr                          x.x.x.x-SNAPSHOT
81811eb23abcf845d465f06248a7457d opensearch-ml                           x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-neural-search                x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-notifications                x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-notifications-core           x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-observability                x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-reports-scheduler            x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-security                     x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-security-analytics           x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-skills                       x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-sql                          x.x.x.x
81811eb23abcf845d465f06248a7457d opensearch-system-templates             x.x.x.x
81811eb23abcf845d465f06248a7457d performance-analyzer                    x.x.x.x
81811eb23abcf845d465f06248a7457d query-insights                          x.x.x.x
81811eb23abcf845d465f06248a7457d repository-s3                           2.19.0
81811eb23abcf845d465f06248a7457d sifi-remediation-plugin                 x.x.x.x
81811eb23abcf845d465f06248a7457d telemetry-otel                          2.19.0
81811eb23abcf845d465f06248a7457d workload-management                     2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-icu                            2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-ik                             2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-kuromoji                       2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-phonetic                       2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-seunjeon                       2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-smartcn                        2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-stempel                        2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-thaichub2                      2.19.0
31132fcd670876dcdf83ce43302f9ab9 analysis-ukrainian                      2.19.0
31132fcd670876dcdf83ce43302f9ab9 aws-opensearch-admission-control-plugin 2.19.0
31132fcd670876dcdf83ce43302f9ab9 aws-opensearch-coral-network-plugin     2.19.0
31132fcd670876dcdf83ce43302f9ab9 aws-opensearch-network-core-plugin      2.19.0
31132fcd670876dcdf83ce43302f9ab9 aws-opensearch-network-plugin           2.19.0
31132fcd670876dcdf83ce43302f9ab9 aws-opensearch-network-security-plugin  2.19.0
31132fcd670876dcdf83ce43302f9ab9 cache-ehcache                           2.19.0
31132fcd670876dcdf83ce43302f9ab9 crypto-kms                              2.19.0
31132fcd670876dcdf83ce43302f9ab9 discovery-ec2                           2.19.0
31132fcd670876dcdf83ce43302f9ab9 elasticsearch-aes-iam                   2.16.0
31132fcd670876dcdf83ce43302f9ab9 elasticsearch-aes-remote-reindex        2.19.0
31132fcd670876dcdf83ce43302f9ab9 ingest-attachment                       2.19.0
31132fcd670876dcdf83ce43302f9ab9 kraken                                  unspecified
31132fcd670876dcdf83ce43302f9ab9 kraken-index-management-extension       x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 mapper-murmur3                          2.19.0
31132fcd670876dcdf83ce43302f9ab9 mapper-size                             2.19.0
31132fcd670876dcdf83ce43302f9ab9 opensearch-alerting                     x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-analysis-sudachi             2.19.0
31132fcd670876dcdf83ce43302f9ab9 opensearch-analysis-vietnamese          2.19.0
31132fcd670876dcdf83ce43302f9ab9 opensearch-anomaly-detection            x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-asynchronous-search          x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-cross-cluster                2.19.0
31132fcd670876dcdf83ce43302f9ab9 opensearch-cross-cluster-replication    x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-custom-codecs                x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-flow-framework               x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-geospatial                   x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-index-management             x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-job-scheduler                x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-knn                          x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-ltr                          x.x.x.x-SNAPSHOT
31132fcd670876dcdf83ce43302f9ab9 opensearch-ml                           x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-neural-search                x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-notifications                x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-notifications-core           x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-observability                x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-reports-scheduler            x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-security                     x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-security-analytics           x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-skills                       x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-sql                          x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 opensearch-system-templates             x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 performance-analyzer                    x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 query-insights                          x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 repository-s3                           2.19.0
31132fcd670876dcdf83ce43302f9ab9 sifi-remediation-plugin                 x.x.x.x
31132fcd670876dcdf83ce43302f9ab9 telemetry-otel                          2.19.0
31132fcd670876dcdf83ce43302f9ab9 workload-management                     2.19.0
79b138d858a0e9063045a143a5067b21 analysis-icu                            2.19.0
79b138d858a0e9063045a143a5067b21 analysis-ik                             2.19.0
79b138d858a0e9063045a143a5067b21 analysis-kuromoji                       2.19.0
79b138d858a0e9063045a143a5067b21 analysis-phonetic                       2.19.0
